Sr No .,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Target,,
703,"Oh Ross, you're so great . ",Rachel,joy,positive,65,3,1,7,"00:08:19,790","00:08:34,554",罗斯，你真是太了不起了。,,
706,"That was supposed to be a good thing, I forget why .",Phoebe,neutral,neutral,66,1,3,6,"00:14:22,611","00:14:25,947",这本来是好事，但是我忘了原因。,,
707,"Just listen, Monica, I, do you know, okay, do you know, I couldn't sleep for like a month because I got like a dot of ink on one of the sofa cushions .",Phoebe,neutral,neutral,66,2,3,6,"00:14:28,117","00:14:35,623",听着，莫妮卡，我，知道吗，我曾经一整个月睡不着就因为一个沙发靠垫被我沾上了一滴墨水。,,
708,"Well, you could just turned the cushion over .",Monica,neutral,neutral,66,3,3,6,"00:14:36,166","00:14:38,459",你可以把它翻面啊。,,
709,"Yeah, I would've except I had a big spaghetti stain on the other side .",Phoebe,neutral,neutral,66,4,3,6,"00:14:38,669","00:14:41,661",我也想啊，但另一面沾上了意大利面酱汁。,,
710,What ? !? !,Monica,surprise,negative,66,5,3,6,"00:14:41,964","00:14:42,964",什么？！？！,,
711,"Okay, this is what I'm talking about, this . I need to live in a land where people can spill .",Phoebe,neutral,neutral,66,6,3,6,"00:14:43,257","00:14:48,761",我就是这个意思。我要住在可以打翻东西的地方。,,
712,You can spill . In the sink .,Monica,neutral,neutral,66,7,3,6,"00:14:50,055","00:14:53,641",你可以打翻东西啊。在水槽里。,,
713,"Aw, honey it's not your fault, you know this is who you are, and I love you, and I want us to be friends, and if I keep living here I don't see that happening .",Phoebe,sadness,negative,66,8,3,6,"00:14:58,939","00:15:04,819",亲爱的，不是你不好，你就是这样的人，我爱你，我想跟你做朋友，要是我继续住这里，那是不可能的。,,
714,"I love you, too .",Monica,joy,positive,66,9,3,6,"00:15:06,947","00:15:09,324",我也爱你。,,
715,"Aww, good . What? ",Phoebe,joy,positive,66,10,3,6,"00:15:06,947","00:15:13,703",那就好。怎么了？,,
716,What? I'm just said .,Monica,sadness,negative,66,11,3,6,"00:15:15,497","00:15:16,998",什么？我只是很难过。,,
717,"No, you're not, you're wondering which cushion it is .",Phoebe,neutral,neutral,66,12,3,6,"00:15:17,791","00:15:20,460",才怪，你在想是哪一个垫子。,,
718,Oh my God!Are you serious? !,Rachel,surprise,positive,67,0,6,3,"0:08:11,115","0:08:12,492",天啊！你是说真的吗？！,,
719,Uh-huh .,Ross,neutral,neutral,67,1,6,3,"0:08:12,492","0:08:13,724",嗯哼。,,
720,I would love to live with you Ross . . that's great!Thank you!,Rachel,joy,positive,67,2,6,3,"00:08:15,369","00:08:18,413",我求之不得呢，罗斯，太好了！谢谢你！,,
721,"Well, I'm just glad I could, you know, I could help you out .",Ross,neutral,neutral,67,3,6,3,"00:08:18,581","00:08:20,957",有帮到你就好。,,
723,"Ross, Ross, you have no idea what this means to me!",Rachel,joy,positive,67,5,6,3,"00:08:30,259","00:08:32,594",罗斯，你无法想象这对我有多重要！,,
724,"I mean, I was gonna be homeless .",Rachel,sadness,negative,67,6,6,3,"0:08:32,762","0:08:34,389",我差点就要流落街头。,,
725,You just saved me!,Rachel,joy,positive,67,7,6,3,"0:08:34,389","0:08:35,951",你救了我！,,
726,You're my hero!,Rachel,joy,positive,67,8,6,3,"0:08:35,951","0:08:37,142",你是我的英雄！,,
727,"Hero, I don't know . well, all right .",Ross,neutral,neutral,67,9,6,3,"00:08:38,476","00:08:41,019",说英雄就太...也行吧。,,
728,"Oh, I have to go tell Monica what a wonderful brother she has!",Rachel,joy,positive,67,10,6,3,"00:08:41,938","00:08:45,732",我要去告诉莫妮卡她的哥哥有多棒！,,
729,"Oh please!You're gonna say things now, aren't you? ",Ross,joy,positive,67,11,6,3,"00:08:55,701","00:08:58,495",别这样！你又有话要说了，对吧？,,
730,No .,Phoebe,neutral,neutral,67,12,6,3,"0:08:59,372","0:08:59,915",没有。,,
731,"No, I won't .",Phoebe,neutral,neutral,67,13,6,3,"0:08:59,915","0:09:01,560",不，我没有。,,
732,"But I should tell you this, this exact same thing happened to my roommate Denise .",Phoebe,neutral,neutral,67,14,6,3,"00:09:01,666","00:09:06,586",但是我要告诉你，这跟我室友狄妮丝的遭遇如出一辙。,,
733,"She moved in with a guy who was secretly married to her and he said he didn't love her, but he really did, and it just blew up!",Phoebe,anger,negative,67,15,6,3,"00:09:06,754","00:09:12,968",她搬去跟一个偷娶她的人住，他嘴上说不爱她，其实心里爱得要死！,,
744,"Dammit, hire the girl!Okay, everybody ready? ",Director,anger,negative,68,0,1,6,"00:13:34,730","00:13:39,317",该死，雇了那个女孩！好了，大家准备好没？,,
745,"Uh, listen, I just wanna thank you for this great opportunity .",Joey,joy,positive,68,1,1,6,"00:13:40,069","00:13:43,738",嗯，听着，我只是想谢谢你给我这个难得的机会。,,
746,Lose the robe .,Director,neutral,neutral,68,2,1,6,"00:13:44,990","00:13:46,032",解开浴袍。,,
747,Me? ,Joey,surprise,negative,68,3,1,6,"00:13:47,117","00:13:48,159",我吗？,,
748,That's great .,Chandler,joy,positive,69,0,1,5,"00:10:00,223","00:10:04,270",太好了。,,
749,"Well, I'm gonna get another espresso . Can I get you another latte? ",Chandler,neutral,neutral,69,1,1,5,"00:10:04,270","00:10:06,938",我再去叫一杯浓缩咖啡。还要拿铁吗？,,
750,"No, no, I'm still working on mine .",Janice,neutral,neutral,69,2,1,5,"00:10:10,067","00:10:13,153",不用了，我的还没喝完。,,
751,That's it? ,Chandler,surprise,negative,69,3,1,5,"00:10:17,783","00:10:18,825",就这样？,,
752,"Yeah, it was really hard .",Phoebe,sadness,negative,69,4,1,5,"00:10:19,076","00:10:20,493",对，真的很难。,,
753,"Oh, yeah, that hug looked pretty brutal .",Chandler,neutral,neutral,69,5,1,5,"00:10:20,953","00:10:22,871",是么？那个拥抱看起来还真绝情呢。,,
754,"Ok, you weren't there .",Phoebe,anger,negative,69,6,1,5,"00:10:23,539","00:10:24,831",你又不是当事人。,,
755,"Wow!That's ah, that's pretty nice!",Tony,joy,positive,70,0,4,2,"00:10:11,611","00:10:14,404",哇！那还，那还不赖！,,
756,Pretty nice? ,Joey,neutral,neutral,70,1,4,2,"00:10:14,472","00:10:16,489",还不赖？,,
757,"You'll have to pardon my roommate, he wanted to marry this .",Chandler,neutral,neutral,70,2,4,2,"00:10:16,907","00:10:19,618",原谅我的室友，他简直想娶它过门。,,
758,"We don't have 50 bucks, but would you be willing to trade for it? We've got a canoe .",Tony,neutral,neutral,70,3,4,2,"00:10:20,703","00:10:25,373",我们没有50块钱，但是你们愿意交换一艘独木舟吗？,,
759,"you know, I really don't think we need a canoe .",Chandler,neutral,neutral,70,4,4,2,"00:10:24,332","00:10:35,717",你知道，我们不需要独木舟。,,
760,You gotta take the canoe!,Tony,anger,negative,70,5,4,2,"00:10:35,885","00:10:37,260",你们一定要收下独木舟！,,
761,"All right, just, just take the entertainment center, and then when you get home, throw the canoe away!",Chandler,neutral,neutral,70,6,4,2,"00:10:35,885","00:10:43,308",好吧，你们把柜子搬走，等你们到家，再把独木舟扔掉！,,
762,We're not throwing it away!I built that canoe!,Peter,anger,negative,70,7,4,2,"00:10:46,520","00:10:49,564",想都别想！那是我亲手造的！,,
763,Good for you!!,Joey,anger,negative,70,8,4,2,"00:10:50,816","00:10:52,400",干得好！！,,
764,Pheebs? ,Rachel,neutral,neutral,71,0,1,4,"0:15:12,036","0:15:12,120",菲比？,,
765,Yeah? ,Phoebe,neutral,neutral,71,1,1,4,"0:15:12,120","0:15:13,767",干吗？,,
766,"Okay . Then I guess it's just, wait here then . Hi . I need one fake ticket to Yemen .",Chandler,neutral,neutral,72,0,4,15,"00:14:30,286","00:14:33,705","好。那就""请在此等候""。我要一张去也门的假机票。",,
767,One ticket to Yemen? ,Ticket Counter Attendant,surprise,negative,72,1,4,15,"00:14:36,083","00:14:39,085",一张去也门的机票吗？,,
768,"Oh, no, no, no, I just, I just need a pretend ticket .",Chandler,neutral,neutral,72,2,4,15,"00:14:42,923","00:14:45,466",噢，不不不，我只需要一张假机票。,,
769,"I'm sorry sir, I don't understand .",Ticket Counter Attendant,surprise,negative,72,3,4,15,"00:14:45,634","00:14:47,677",抱歉，先生，我不太明白。,,
770,What would you give to a kid if he wanted a ticket to play with? ,Chandler,neutral,neutral,72,4,4,15,"00:14:47,845","00:14:50,847",小孩想要张票玩的时候你会给他什么？,,
771,Are you travelling with a child? ,Ticket Counter Attendant,neutral,neutral,72,5,4,15,"00:14:51,015","00:14:53,516",您带了小孩子一起坐飞机吗？,,
772,No .,Chandler,neutral,neutral,72,6,4,15,"00:14:54,768","00:14:56,436",没有。,,
773,"All right, you know what, she's gonna think that I'm handing you a credit card, but what I'm really gonna do is hand you a library card .",Chandler,neutral,neutral,72,7,4,15,"00:14:57,688","00:15:04,736",好吧，她会以为我在拿信用卡给你，其实我给你的是借书证。,,
776,"Okay, but this is the last time .",Chandler,neutral,neutral,73,0,3,21,"00:08:04,525","00:08:06,568",好吧，但这是最后一次。,,
777,"* With a chick-chick here, and a chick-chick there *",Chandler,joy,positive,73,1,3,21,"00:08:07,904","00:08:10,155",*这里有只小小鸡，那里有只小小鸡。*,,
778,"* Here a chick, there a chick, everywhere a chick-chick *",Chandler,joy,positive,73,2,3,21,"00:08:10,323","00:08:13,074",*这只鸡，那只鸡，到处都有小小鸡。*,,
779,Hey .,Joey,neutral,neutral,73,3,3,21,"0:08:16,871","0:08:18,123",嗨。,,
780,Hey .,Chandler,neutral,neutral,73,4,3,21,"0:08:18,123","0:08:18,321",嗨。,,
781,How's she doing? ,Joey,neutral,neutral,73,5,3,21,"0:08:18,414","0:08:19,376",鸡妹妹好吗？,,
782,She? ,Chandler,surprise,positive,73,6,3,21,"0:08:19,376","0:08:20,335",妹妹？,,
783,"Well yeah, don't you think it's a she? ",Joey,neutral,neutral,73,7,3,21,"00:08:20,458","00:08:23,919",哦，你不觉得是妹妹吗？,,
784,"I don't know . I can't tell, what ever it was went back in too quickly .",Chandler,neutral,neutral,73,8,3,21,"00:08:24,795","00:08:38,392",我不知道。看不出来，那个东西一下子就缩回去了。,,
785,"Well, anyway, I got to go change, I'm meeting some of the cast for drinks .",Joey,neutral,neutral,73,9,3,21,"00:08:40,478","00:08:43,438",我要换衣服，我要去跟其他演员喝酒。,,
786,Excuse me? ,Chandler,surprise,negative,73,10,3,21,"00:08:43,606","00:08:44,898",什么？,,
787,What? ,Joey,neutral,neutral,73,11,3,21,"00:08:45,066","00:08:46,566",怎么了？,,
788,"Okay, good, so there you go . Go with Vince .",Joey,joy,positive,74,0,3,23,"00:07:09,762","00:07:12,514",好。那就选文斯吧。,,
789,"Yeah, but Jason's really sensitive .",Phoebe,neutral,neutral,74,1,3,23,"00:07:12,682","00:07:14,516",但是杰森好感性。,,
790,"Well sensitive is important, pick him .",Chandler,neutral,neutral,74,2,3,23,"0:07:14,684","0:07:16,656",感性很重要，选他。,,
791,Yeah .,Phoebe,neutral,neutral,74,3,3,23,"0:07:16,656","0:07:18,077",也是。,,
792,"Oh sure, go with the sissy .",Joey,disgust,negative,74,4,3,23,"00:07:18,187","00:07:20,981",是啊，听娘娘腔的话。,,
793,Jason is not a sissy!,Phoebe,anger,negative,74,5,3,23,"00:07:22,275","00:07:24,317",杰森才不娘娘腔！,,
794,"Oh no, no, no, I meant Chandler .",Joey,anger,negative,74,6,3,23,"00:07:24,485","00:07:26,695",不不不，我是说钱德勒。,,
795,Hi .,Ross,neutral,neutral,75,0,1,1,"00:19:28,917","00:19:30,251",嗨。,,
796,"So uh, apparently people are familiar with the Europe story? ",Rachel,neutral,neutral,76,0,8,4,"00:19:30,419","00:19:34,088",那么，很明显，看来大家都知道欧洲的故事？,,
797,Yeah .,Ross,neutral,neutral,76,1,8,4,"00:19:34,256","00:19:36,132",是的。,,
798,"Listen about that, the whole uh, ""who came on to who"" thing really doesn't matter .",Ross,neutral,neutral,76,2,8,4,"00:19:34,256","00:19:40,219","关于""谁主动""的问题，真的不重要。",,
799,"I mean, I think it would've happened either way .",Ross,neutral,neutral,76,3,8,4,"00:19:40,387","00:19:47,393",反正该发生的总会发生。,,
800,"I mean if you hadn't initiated it, I know I would've .",Ross,neutral,neutral,76,4,8,4,"00:19:43,515","00:19:47,393",就算你不主动，我也会主动。,,
801,It was an amazing night .,Rachel,joy,positive,76,5,8,4,"0:19:49,396","0:19:50,868",那是个神奇的夜晚。,,
802,It was . It was an amazing night .,Ross,joy,positive,76,6,8,4,"0:19:50,868","0:19:53,621",没错。确实很神奇。,,
803,You think it looked amazing? ,Rachel,sadness,negative,76,7,8,4,"00:19:56,153","00:19:59,280",你觉得它看起来也很神奇吗？,,
804,Do we have a name yet? ,Dr . Long,neutral,neutral,77,0,8,24,"0:09:57,918","0:09:59,128",你们取好名字了吗？,,
805,"No, not yet .",Rachel,neutral,neutral,77,1,8,24,"0:09:59,128","0:10:00,797",还没有。,,
806,"That's fine, for now we'll just call her Baby Girl Green .",Dr . Long,neutral,neutral,77,2,8,24,"00:10:00,880","00:10:04,633",没关系，先叫她格林之女。,,
807,"Oh no, Baby Girl Geller-Green .",Rachel,neutral,neutral,77,3,8,24,"0:10:04,800","0:10:07,053",不，盖勒·格林之女。,,
808,"Hello, baby girl .",Rachel,joy,positive,77,4,8,24,"0:10:07,053","0:10:08,096",你好，小姑娘。,,
809,"Ah-ha, nowhere to run!",Ross,joy,positive,78,0,6,17,"00:21:08,850","00:21:11,811",啊哈，你们逃不掉了！,,
810,I don't like sitting up here!I'm just gonna over,Rachel,anger,negative,78,1,6,17,"00:21:13,605","00:21:16,315",我不喜欢坐这里！我要过去...,,
811,No Rachel!They got here first!,Phoebe,anger,negative,78,2,6,17,"00:21:16,483","00:21:18,150",瑞秋！是他们先来的！,,
812,Why is Ross doing that? ,Phoebe,neutral,neutral,78,3,6,17,"0:21:27,452","0:21:29,094",罗斯在干嘛？,,
813,DANGER!,Ross,fear,negative,78,4,6,17,"0:21:29,094","0:21:29,757",危险！,,
814,Oh my God!Why is he jumping on those women!,Rachel,surprise,negative,78,5,6,17,"00:21:29,871","00:21:34,709",天啊！他干嘛扑向那两个女人！,,
815,No that's all right . Don't worry about it .,Joey,neutral,neutral,79,0,6,18,"00:16:23,732","00:16:28,403",没关系。别在意。,,
816,Oh but look!That's gonna leave a stain!,Rachel,disgust,negative,79,1,6,18,"00:16:28,570","00:16:31,072",但是你看！会有印子！,,
817,Rach!Hey!It's fine!You're at Joey's!,Joey,joy,positive,79,2,6,18,"00:16:31,240","00:16:35,284",瑞秋！没关系！这是乔伊家！,,
818,Really? ,Rachel,surprise,positive,79,3,6,18,"0:16:35,828","0:16:36,540",真的吗？,,
819,Yeah!Look!,Joey,neutral,neutral,79,4,6,18,"0:16:36,540","0:16:38,474",当然！你看！,,
820,I've never lived like this before .,Rachel,disgust,negative,79,5,6,18,"0:16:43,752","0:16:45,554",我从没生活得这么惬意过。,,
821,I know .,Joey,neutral,neutral,79,6,6,18,"0:16:45,554","0:16:47,358",就是嘛。,,
822,"All right, don't waste it, I mean its still food .",Joey,neutral,neutral,79,7,6,18,"00:16:50,926","00:16:53,803",但也别浪费了，始终是食物嘛。,,
823,"Hey Joey, is this the bed where Olivia lost her virginity? ",Rachel,neutral,neutral,80,0,9,19,"00:03:52,983","00:03:55,945",乔伊，这是奥莉维亚献出第一夜的那张床吗？,,
824,"I don't know, but one of the extras sure did!Hey, listen Rach . Thanks again for coming down to watch my scenes!",Joey,joy,positive,80,1,9,19,"00:03:56,153","00:04:02,493",我不知道，倒是有个临时演员献出过！听着，瑞秋。再次谢谢你过来看我的演出！,,
825,"Oh, please!Honey, just the fact that you want me here to support you, I'm ... OH MY GOD!Is that Christian Sanders? He's so gorgeous!",Rachel,surprise,positive,80,2,9,19,"00:04:02,701","00:04:11,210",拜托！亲爱的，我光是想到你要我的支持，我就……喔，天啊！那是克利斯·桑德斯吗？他真的是非常帅！,,
826,"And also, so gay .",Joey,neutral,neutral,80,3,9,19,"00:04:11,418","00:04:14,088","而且也非常""同性恋""。",,
827,"Oh, in my head he's done some pretty ""not-gay-stuff""!",Rachel,neutral,neutral,80,4,9,19,"00:04:14,255","00:04:18,175","在我脑海中，他做了很多不是""同性恋""的事！",,
828,"Well, at the Christmas party him and Santa did some definitely gay stuff!",Joey,neutral,neutral,80,5,9,19,"00:04:18,384","00:04:22,763","在圣诞晚会上。他跟圣诞老公公做了很多绝对是""同性恋""的事！",,
829,"OK, you've got to promise that you'll never, ever tell Ross that I told you .",Joey,neutral,neutral,81,0,1,7,"00:11:33,150","00:11:37,946",好吧，但你得答应我，不会告诉罗斯是我说的。,,
830,About what? ,Monica,neutral,neutral,81,1,1,7,"0:11:38,155","0:11:40,950",说什么？,,
831,He's planning your birthday party .,Joey,neutral,neutral,81,2,1,7,"0:11:40,950","0:11:41,092",他正在准备你的生日派对。,,
832,Oh my God!I love him!,Monica,joy,positive,81,3,1,7,"00:11:42,743","00:11:44,577",天啊！我爱他！,,
833,You'd better act surprised .,Joey,fear,negative,81,4,1,7,"00:11:44,829","00:11:46,287",你最好装成一副吃惊的样子。,,
834,About what? ,Phoebe,neutral,neutral,81,5,1,7,"0:11:46,539","0:11:47,381",装什么？,,
835,My surprise party!,Monica,joy,positive,81,6,1,7,"0:11:47,381","0:11:48,773",我的生日派对！,,
836,What surprise party? ,Phoebe,surprise,positive,81,7,1,7,"0:11:48,773","0:11:48,918",什么派对？,,
837,Oh stop it . Joey already told me .,Monica,joy,positive,81,8,1,7,"00:11:49,041","00:11:53,086",少装蒜了。乔伊已经告诉我了。,,
838,"Well, he didn't tell me .",Phoebe,neutral,neutral,81,9,1,7,"00:11:53,713","00:11:55,213",他没有告诉我。,,
839,"Hey, don't look at me . This is Ross's thing .",Joey,neutral,neutral,81,10,1,7,"00:11:55,881","00:11:58,758",别看我。这是罗斯的主意。,,
840,This is so typical . I'm always the last one to know everything .,Phoebe,anger,negative,81,11,1,7,"00:11:59,009","00:12:02,303",每次都这样。我总是最后知道的人。,,
841,"No, you are not . We tell you stuff .",Monica,neutral,neutral,81,12,1,7,"0:12:02,555","0:12:04,697",你不是。我们都有告诉你。,,
842,Yuh-huh!,Phoebe,anger,negative,81,13,1,7,"0:12:04,697","0:12:05,287",才怪！,,
843,I was the last one to know when Chandler got bitten by the peacock at the zoo .,Phoebe,anger,negative,81,14,1,7,"00:12:05,391","00:12:10,019",我是最后知道钱德勒在动物园被孔雀咬的人。,,
844,I was the last one to know when you had a crush on Joey when he was moving in .,Phoebe,anger,negative,81,15,1,7,"00:12:10,771","00:12:13,815",我也是最后知道乔伊刚搬来时你对他有意思。,,
845,Looks like I was second to last .,Phoebe,surprise,positive,81,16,1,7,"00:12:16,068","00:12:18,820",看来我是倒数第二知道的。,,
846,"Chandler, we still haven't gotten an RSVP from your dad .",Monica,neutral,neutral,82,0,7,22,"00:03:07,687","00:03:10,981",钱德勒，你爸还没寄回函给我们。,,
847,"Oh!Right . Umm, maybe that's because I didn't send him an invitation .",Chandler,neutral,neutral,82,1,7,22,"00:03:11,232","00:03:15,777",对。或许那是因为我没寄喜贴给他。,,
848,Chandler!He's your father . he should be at the wedding .,Monica,anger,negative,82,2,7,22,"00:03:17,155","00:03:20,032",钱德勒！他是你爸爸。他应该来参加我们的婚礼。,,
849,I don't even know the man . Okay? We're not that close . I haven't seen him in years .,Chandler,disgust,negative,82,3,7,22,"00:03:20,200","00:03:24,203",我跟他根本不熟。好吗？我们关系很疏远。我好几年没跟他见过面了。,,
850,Well what are you gonna do when he finds out he wasn't even asked? !,Monica,sadness,negative,82,4,7,22,"00:03:24,370","00:03:26,914",如果他知道我们没有邀请他呢？！,,
852,It's not like we run in the same circles .,Chandler,neutral,neutral,82,5,7,22,"00:03:27,081","00:03:29,374",我们的生活圈不一样。,,
853,"I hang out with you guys, and he stars in a drag show in Vegas .",Chandler,disgust,negative,82,6,7,22,"00:03:29,542","00:03:35,547",我跟你们来往，而他在拉斯维加斯表演变装秀。,,
854,"Ooh, I think I wanna trade circles .",Phoebe,neutral,neutral,82,7,7,22,"00:03:35,965","00:03:38,342",我想和他交换生活圈。,,
857,"Trust me . You don't want him there, either . Nobody is gonna be staring at the bride when the father of the groom is wearing a back-less dress .",Chandler,disgust,negative,82,9,7,22,"00:03:39,260","00:03:45,724",相信我。你也不会想邀请他过来。到时候没有人会看新娘，因为新郎的爸爸穿着露背连衣裙。,,
858,So what!As long as he's not wearing a white dress and a veil I don't care .,Monica,neutral,neutral,82,10,7,22,"00:03:47,227","00:03:50,646",那又怎么样！只要他不穿婚纱，我根本不在乎。,,
859,"Okay, I think I need to do some shopping .",Phoebe,neutral,neutral,82,11,7,22,"00:03:50,813","00:03:53,273",好的，我得去买点东西。,,
860,Hello!Who's in there? ,Charlton Heston,neutral,neutral,83,0,4,14,"00:15:41,941","00:15:44,984",你好！谁在里面？,,
861,How you doing? ,Joey,neutral,neutral,83,1,4,14,"00:15:50,199","00:15:51,616",你好吗？,,
862,Who in the hell are you? ,Charlton Heston,anger,negative,83,2,4,14,"00:15:52,576","00:15:54,577",见鬼，你是谁？,,
863,"I guess you wouldn't believe me if I said I was Kurt Douglas, huh? ",Joey,neutral,neutral,83,3,4,14,"00:15:54,745","00:15:58,247",我说柯克·道格拉斯你不会信吧？,,
864,"no, no, Rachel, don't get it!He'll see us!",Monica,fear,negative,84,0,4,20,"00:20:58,674","00:21:01,050",不，不，瑞秋，别开门！他会看见的！,,
865,"No, yeah!The groom cannot see the bride!",Phoebe,anger,negative,84,1,4,20,"00:21:01,218","00:21:03,761",新郎不能看见新娘！,,
866,I'm not gonna marry Chandler!,Rachel,anger,negative,84,2,4,20,"00:21:03,929","00:21:05,888",我又不嫁钱德勒！,,
867,Not after this!,Phoebe,anger,negative,84,3,4,20,"00:21:06,056","00:21:08,224",见了当然就嫁不成了！,,
868,"Okay, you guys, just relax . I do !",Rachel,neutral,neutral,84,4,4,20,"00:21:09,685","00:21:25,616",你们放轻松就好。我愿意！,,
869,I gotta go .,Joshua,neutral,neutral,84,5,4,20,"00:21:22,823","00:21:25,616",我得走了。,,
870,"Oh, wait, Joshua!Joshua!Yeah, well, that oughta do it .",Rachel,sadness,negative,84,6,4,20,"00:21:22,823","00:21:33,165",等等，约书亚！约书亚！好吧，吓跑他很正常。,,
871,"Sorry I'm late, but I left late .",Rachel,neutral,neutral,85,0,5,9,"00:06:08,785","00:06:10,660",抱歉我迟到了，因为我太晚出门。,,
872,Okay .,Phoebe,neutral,neutral,85,1,5,9,"00:06:11,245","00:06:13,038",好吧。,,
873,"So Pheebs, what is the book about? ",Rachel,neutral,neutral,85,2,5,9,"00:06:13,748","00:06:16,291",菲比，这本书讲什么的？,,
874,I thought you said you read it in high school .,Phoebe,neutral,neutral,85,3,5,9,"00:06:16,542","00:06:18,293",你不是高中时看过吗？,,
875,"Well yeah, but then I remembered I started it and there was this pep rally and I was, I was on top of the pyramid but anyway umm, what is this book about? ",Rachel,neutral,neutral,85,4,5,9,"00:06:18,503","00:06:25,550",后来我想起来，我当时尝试去看，正好碰上啦啦队有活动，我又是叠罗汉队形的最上面一个，总之，这本书到底讲什么的？,,
876,"Excuse me, can I, can I bum one of those? ",Rachel,neutral,neutral,86,0,5,18,"00:08:59,580","00:09:01,665",不好意思，能给支烟吗？,,
877,"you know what, actually Okay, okay, okay, what's so funny over here? ",Rachel,neutral,neutral,86,1,5,18,"00:09:05,920","00:09:08,630",这支就好，好啦，好啦，好啦，你们在聊什么好笑的？,,
878,I thought you didn't smoke .,Nancy,surprise,positive,86,2,5,18,"00:09:08,798","00:09:10,840",我还以为你不抽烟呢。,,
879,"Oh, I thought you guys meant marijuana cigarettes, you know? ",Rachel,neutral,neutral,86,3,5,18,"00:09:11,008","00:09:15,845",我以为你们是说大麻烟。,,
880,"you know what I mean, like dubbies? ",Rachel,neutral,neutral,86,4,5,18,"00:09:17,265","00:09:18,932",毒品那种。,,
881,"And I actually, I thought to myself, ""Wow, those guys are crazy!""",Rachel,surprise,positive,86,5,5,18,"00:09:21,060","00:09:24,229",我还纳闷，“她们是疯了不成！”,,
882,"But no, I actually smoke the regular ones all, all the time .",Rachel,neutral,neutral,86,6,5,18,"00:09:24,397","00:09:26,898",这种正常烟，我自己天天都抽。,,
883,We get high .,Kim,neutral,neutral,86,7,5,18,"00:09:27,900","00:09:28,942",我们很嗨。,,
884,"Oh, me too .",Rachel,neutral,neutral,86,8,5,18,"00:09:31,612","00:09:33,321",我也是。,,
885,I'm kidding .,Kim,neutral,neutral,86,9,5,18,"00:09:34,699","00:09:36,658",开玩笑的。,,
886,"Oh, me too .",Rachel,joy,positive,86,10,5,18,"00:09:36,993","00:09:38,702",我也是。,,
887,"Oh, are you sure you're ok? ",Rachel,sadness,negative,87,0,1,5,"0:21:55,897","0:21:57,441",你确定没事？,,
888,Yeah .,Ross,neutral,neutral,87,1,1,5,"0:21:57,441","0:21:58,247",对。,,
889,Does it still hurt? ,Rachel,sadness,negative,87,2,1,5,"0:21:58,483","0:22:00,075",还疼么？,,
890,Yeah .,Ross,sadness,negative,87,3,1,5,"0:22:00,075","0:22:00,532",嗯。,,
891,What a neat idea . All your clothes match . I'm gonna do this .,Phoebe,joy,positive,87,4,1,5,"00:22:03,113","00:22:06,949",真是聪明。衣服颜色都一样。我也要这么做。,,
892,Hi .,Monica,neutral,neutral,87,5,1,5,"00:22:08,744","00:22:09,744",嗨。,,
893,"Hey, how'd it go? ",Phoebe,neutral,neutral,87,6,1,5,"00:22:09,953","00:22:10,995",怎么样？,,
894,Excellent .,Joey,joy,positive,87,7,1,5,"00:22:11,204","00:22:12,246",超棒。,,
895,"We ripped that couple apart, and kept the pieces for ourselves .",Monica,joy,positive,87,8,1,5,"00:22:12,497","00:22:16,751",我们把拆散了一对情侣，然后各自一人一半。,,
896,"What a beautiful story . Hey, I'm fine by the way .",Ross,joy,positive,87,9,1,5,"00:22:18,003","00:22:23,090",真是美丽动人的故事。嘿，我已经没事了。,,
897,You know what? You are right . I am gonna quit .,Phoebe,neutral,neutral,88,0,9,21,"00:20:49,673","00:20:52,625",你知道吗？你说的对。我要去辞职。,,
898,Good for you Pheebs!,Rachel,joy,positive,88,1,9,21,"00:20:52,793","00:20:55,878",很好，菲比！,,
899,Ok .,Phoebe,neutral,neutral,88,2,9,21,"00:20:56,046","00:20:57,380",好。,,
900,"Okay If you guys have microphones in there too, I didn't mean any of that .",Phoebe,neutral,neutral,88,3,9,21,"00:20:59,800","00:21:04,637",如果你们在里面也有装麦克风，我在里面说的都不是真心的。,,
901,This sucks!I didn't know I had to stay up all night before I went to this stupid sleep clinic!I'm so tired!,Joey,anger,negative,89,0,4,20,"00:09:22,478","00:09:29,651",真讨厌！我不知道去睡眠诊所前一晚还不能睡觉！我好累！,,
902,It's 6:00 .,Chandler,neutral,neutral,89,1,4,20,"00:09:31,195","00:09:33,151",现在才六点。,,
904,Hi!,Rachel,joy,positive,89,2,4,20,"00:09:34,448","00:09:35,824",嗨！,,
906,"Yeah, Rach, I think you're handling that really well .",Joey,neutral,neutral,89,4,4,20,"00:09:41,163","00:09:43,498",是啊，瑞秋，你处理得很好。,,
907,Handling it? ,Rachel,neutral,neutral,89,5,4,20,"00:09:44,458","00:09:45,917",处理？,,
908,"What do you mean, handling it? ",Rachel,joy,positive,89,6,4,20,"0:09:46,085","0:09:47,097",什么处不处理？,,
909,There's nothing to handle .,Rachel,joy,positive,89,7,4,20,"0:09:47,097","0:09:48,219",根本没什么好处理的。,,
910,Maybe I would have a problem with this if it wasn't for me and Joshua .,Rachel,neutral,neutral,89,8,4,20,"00:09:48,337","00:09:52,757",如果没跟约书亚在一起我或许会无法接受。,,
